"1623673861630722048 2023-02-09 13:23:09 +0000 <Birdson64827145> @Maks_NAFO_FELLA SpaceX should be seized and Musk prosecuted.
",birdson spacex should be seized and musk prosecuted,0,0,-0.3818,negative
"1624000287605153793 2023-02-10 11:00:15 +0000 <techinjektion> #Tech #NewsFlash 02/10 SpaceX fires up giant Starship rocket engines in key test  https://t.co/WXSiKR7BYj #Technology #Bot #News
",techinjektion tech newsflash spacex fires up giant starship rocket engines in key test technology bot news,0,0,0.0,neutral
"1622984633058041858 2023-02-07 15:44:24 +0000 <bs_tolerance_0> @SpaceX @Hispasat They really messed up the color order in these.  https://t.co/02MsYo9xxs
",bstolerance they really messed up the color order in these,0,0,-0.4005,negative
"1623409098598281222 2023-02-08 19:51:05 +0000 <betty_wandell> @SawyerMerritt @SpaceX @elonmusk I love SpaceX 🚀 Rockets, great Engineering.
",bettywandell i love spacex 🚀 rockets great engineering,0,0,0.8519,positive
"1623636130724818949 2023-02-09 10:53:13 +0000 <shahzadusmani91> SpaceX accuses Ukraine of ‘weaponising’ Elon Musk’s Starlink satellites  https://t.co/ygeax7pYxv
",shahzadusmani spacex accuses ukraine of ‘weaponising’ elon musk’s starlink satellites,0,0,-0.34,negative
"1623262621674733574 2023-02-08 10:09:02 +0000 <cabbily> Get onto THE Ride Sharing App, Cabbily in 4 Easy Steps @SafeBoda  @ntvuganda  @nbstv  @nssfug  @UNRA_UG  @KCCAUG  @jinjacity   @newvisionwire  @DailyMonitor    @mtnug  @Airtel_Ug  @SpaceX  @MoWT_Uganda   @cafejavas_ug #BackToSchool #StateOfTheUnionAddress  #CabbilyHappily  https://t.co/sruLOoAZio
",cabbily get onto the ride sharing app cabbily in easy steps backtoschool stateoftheunionaddress cabbilyhappily,0,0,0.6908,positive
"1624006433409798144 2023-02-10 11:24:40 +0000 <Francis21847034> Will Geometric Energy Corporation and SpaceX Use Artificial Intelligence in the Doge-1 Mission to the Moon?🪙🚀  ▶️  https://t.co/nM9L3QZRKm   #dogecoin #doge #doge1
",francis will geometric energy corporation and spacex use artificial intelligence in the doge mission to the moon🪙🚀 ▶️ dogecoin doge doge,0,0,0.6369,positive
"1623711064322985984 2023-02-09 15:50:59 +0000 <AnnJuurinen> Fury in Ukraine as Elon Musk’s SpaceX limits Starlink use for drones  https://t.co/xsr5qaLi5H
",annjuurinen fury in ukraine as elon musk’s spacex limits starlink use for drones,0,0,-0.5719,negative
"1624005512294440961 2023-02-10 11:21:01 +0000 <HusaAnders> Will Geometric Energy Corporation and SpaceX Use Artificial Intelligence in the Doge-1 Mission to the Moon?🪙🚀  ▶️  https://t.co/3ry7nSrE4T   #dogecoin #doge #doge1
",husaanders will geometric energy corporation and spacex use artificial intelligence in the doge mission to the moon🪙🚀 ▶️ dogecoin doge doge,0,0,0.6369,positive
"1623354906701623296 2023-02-08 16:15:44 +0000 <anaya_hits> SpaceX put Elon Musk’s Tesla into space five years ago. Where is it now?  https://t.co/gfMOhuHj0E
",anayahits spacex put elon musk’s tesla into space five years ago where is it now,0,0,0.0,neutral
